Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	782.0	785.0	0	15000	Spot-breasted Wren	spbwre1	0.4593	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_124200.WAV	46.0
2	Spectrogram 1	1	783.0	786.0	0	15000	Spot-breasted Wren	spbwre1	0.3195	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_124200.WAV	47.0
3	Spectrogram 1	1	784.0	787.0	0	15000	Spot-breasted Wren	spbwre1	0.1241	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_124200.WAV	48.0
4	Spectrogram 1	1	788.0	791.0	0	15000	Spot-breasted Wren	spbwre1	0.2266	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_124200.WAV	52.0
5	Spectrogram 1	1	789.0	792.0	0	15000	Spot-breasted Wren	spbwre1	0.3496	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_124200.WAV	53.0
6	Spectrogram 1	1	793.0	796.0	0	15000	Spot-breasted Wren	spbwre1	0.7378	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_124200.WAV	57.0
7	Spectrogram 1	1	2956.0	2959.0	0	15000	Spot-breasted Wren	spbwre1	0.3427	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	0.0
8	Spectrogram 1	1	2962.0	2965.0	0	15000	Spot-breasted Wren	spbwre1	0.2309	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	6.0
9	Spectrogram 1	1	2963.0	2966.0	0	15000	Spot-breasted Wren	spbwre1	0.5267	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	7.0
10	Spectrogram 1	1	2964.0	2967.0	0	15000	Spot-breasted Wren	spbwre1	0.2956	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	8.0
11	Spectrogram 1	1	2969.0	2972.0	0	15000	Spot-breasted Wren	spbwre1	0.2358	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	13.0
12	Spectrogram 1	1	2970.0	2973.0	0	15000	Spot-breasted Wren	spbwre1	0.2600	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	14.0
13	Spectrogram 1	1	2971.0	2974.0	0	15000	Spot-breasted Wren	spbwre1	0.1345	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	15.0
14	Spectrogram 1	1	2975.0	2978.0	0	15000	Spot-breasted Wren	spbwre1	0.1241	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	19.0
15	Spectrogram 1	1	2976.0	2979.0	0	15000	Spot-breasted Wren	spbwre1	0.3011	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	20.0
16	Spectrogram 1	1	2977.0	2980.0	0	15000	Spot-breasted Wren	spbwre1	0.4140	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	21.0
17	Spectrogram 1	1	2983.0	2986.0	0	15000	Spot-breasted Wren	spbwre1	0.3403	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	27.0
18	Spectrogram 1	1	2984.0	2987.0	0	15000	Spot-breasted Wren	spbwre1	0.2062	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	28.0
19	Spectrogram 1	1	2989.0	2992.0	0	15000	Spot-breasted Wren	spbwre1	0.2051	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	33.0
20	Spectrogram 1	1	2990.0	2993.0	0	15000	Spot-breasted Wren	spbwre1	0.3267	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	34.0
