Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
21	Spectrogram 1	1	2991.0	2994.0	0	15000	Spot-breasted Wren	spbwre1	0.3228	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_162400.WAV	35.0
22	Spectrogram 1	1	3325.0	3328.0	0	15000	Spot-breasted Wren	spbwre1	0.1953	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_170000.WAV	9.0
23	Spectrogram 1	1	3326.0	3329.0	0	15000	Spot-breasted Wren	spbwre1	0.7542	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_170000.WAV	10.0
24	Spectrogram 1	1	3327.0	3330.0	0	15000	Spot-breasted Wren	spbwre1	0.7488	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_170000.WAV	11.0
25	Spectrogram 1	1	4066.0	4069.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1084	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250613_181200.WAV	30.0
26	Spectrogram 1	1	8443.0	8446.0	0	15000	Spot-breasted Wren	spbwre1	0.2093	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_103000.WAV	27.0
27	Spectrogram 1	1	8452.0	8455.0	0	15000	Spot-breasted Wren	spbwre1	0.1021	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_103000.WAV	36.0
28	Spectrogram 1	1	8453.0	8456.0	0	15000	Spot-breasted Wren	spbwre1	0.2008	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_103000.WAV	37.0
29	Spectrogram 1	1	8459.0	8462.0	0	15000	Spot-breasted Wren	spbwre1	0.2586	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_103000.WAV	43.0
30	Spectrogram 1	1	8460.0	8463.0	0	15000	Spot-breasted Wren	spbwre1	0.2387	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_103000.WAV	44.0
31	Spectrogram 1	1	8461.0	8464.0	0	15000	Spot-breasted Wren	spbwre1	0.2785	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_103000.WAV	45.0
32	Spectrogram 1	1	8471.0	8474.0	0	15000	Spot-breasted Wren	spbwre1	0.2527	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_103000.WAV	55.0
33	Spectrogram 1	1	8719.0	8722.0	0	15000	Spot-breasted Wren	spbwre1	0.2083	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	3.0
34	Spectrogram 1	1	8720.0	8723.0	0	15000	Spot-breasted Wren	spbwre1	0.1731	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	4.0
35	Spectrogram 1	1	8725.0	8728.0	0	15000	Spot-breasted Wren	spbwre1	0.1860	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	9.0
36	Spectrogram 1	1	8726.0	8729.0	0	15000	Spot-breasted Wren	spbwre1	0.2402	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	10.0
37	Spectrogram 1	1	8727.0	8730.0	0	15000	Spot-breasted Wren	spbwre1	0.1697	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	11.0
38	Spectrogram 1	1	8730.0	8733.0	0	15000	Spot-breasted Wren	spbwre1	0.1896	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	14.0
39	Spectrogram 1	1	8736.0	8739.0	0	15000	Spot-breasted Wren	spbwre1	0.1234	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	20.0
40	Spectrogram 1	1	8737.0	8740.0	0	15000	Spot-breasted Wren	spbwre1	0.2269	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	21.0
41	Spectrogram 1	1	8747.0	8750.0	0	15000	Spot-breasted Wren	spbwre1	0.2014	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	31.0
42	Spectrogram 1	1	8748.0	8751.0	0	15000	Spot-breasted Wren	spbwre1	0.1821	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	32.0
43	Spectrogram 1	1	8749.0	8752.0	0	15000	Spot-breasted Wren	spbwre1	0.3062	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	33.0
44	Spectrogram 1	1	8762.0	8765.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1421	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	46.0
45	Spectrogram 1	1	8763.0	8766.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.3226	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	47.0
46	Spectrogram 1	1	8764.0	8767.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2012	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_110000.WAV	48.0
47	Spectrogram 1	1	9197.0	9200.0	0	15000	Spot-breasted Wren	spbwre1	0.1566	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	1.0
48	Spectrogram 1	1	9204.0	9207.0	0	15000	Spot-breasted Wren	spbwre1	0.1243	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	8.0
49	Spectrogram 1	1	9206.0	9209.0	0	15000	Spot-breasted Wren	spbwre1	0.3394	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	10.0
50	Spectrogram 1	1	9214.0	9217.0	0	15000	Spot-breasted Wren	spbwre1	0.1501	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	18.0
51	Spectrogram 1	1	9215.0	9218.0	0	15000	Spot-breasted Wren	spbwre1	0.1253	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	19.0
52	Spectrogram 1	1	9221.0	9224.0	0	15000	Spot-breasted Wren	spbwre1	0.1882	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	25.0
53	Spectrogram 1	1	9222.0	9225.0	0	15000	Spot-breasted Wren	spbwre1	0.2287	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	26.0
54	Spectrogram 1	1	9223.0	9226.0	0	15000	Spot-breasted Wren	spbwre1	0.2450	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	27.0
55	Spectrogram 1	1	9224.0	9227.0	0	15000	Spot-breasted Wren	spbwre1	0.4220	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	28.0
56	Spectrogram 1	1	9228.0	9231.0	0	15000	Spot-breasted Wren	spbwre1	0.2512	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	32.0
57	Spectrogram 1	1	9229.0	9232.0	0	15000	Spot-breasted Wren	spbwre1	0.2907	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	33.0
58	Spectrogram 1	1	9230.0	9233.0	0	15000	Spot-breasted Wren	spbwre1	0.3231	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	34.0
59	Spectrogram 1	1	9232.0	9235.0	0	15000	Spot-breasted Wren	spbwre1	0.3547	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	36.0
60	Spectrogram 1	1	9233.0	9236.0	0	15000	Spot-breasted Wren	spbwre1	0.4178	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	37.0
61	Spectrogram 1	1	9234.0	9237.0	0	15000	Spot-breasted Wren	spbwre1	0.4642	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	38.0
62	Spectrogram 1	1	9238.0	9241.0	0	15000	Spot-breasted Wren	spbwre1	0.4645	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	42.0
63	Spectrogram 1	1	9239.0	9242.0	0	15000	Spot-breasted Wren	spbwre1	0.7348	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	43.0
64	Spectrogram 1	1	9241.0	9244.0	0	15000	Spot-breasted Wren	spbwre1	0.1875	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	45.0
65	Spectrogram 1	1	9242.0	9245.0	0	15000	Spot-breasted Wren	spbwre1	0.2952	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	46.0
66	Spectrogram 1	1	9243.0	9246.0	0	15000	Spot-breasted Wren	spbwre1	0.4112	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	47.0
67	Spectrogram 1	1	9248.0	9251.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1142	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	52.0
68	Spectrogram 1	1	9251.0	9254.0	0	15000	Spot-breasted Wren	spbwre1	0.1125	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	55.0
69	Spectrogram 1	1	9252.0	9255.0	0	15000	Spot-breasted Wren	spbwre1	0.1046	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	56.0
70	Spectrogram 1	1	9253.0	9256.0	0	15000	Spot-breasted Wren	spbwre1	0.2264	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_114800.WAV	57.0
71	Spectrogram 1	1	9556.0	9559.0	0	15000	Clay-colored Thrush	clcrob	0.1460	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	0.0
72	Spectrogram 1	1	9567.0	9570.0	0	15000	Clay-colored Thrush	clcrob	0.1067	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	11.0
73	Spectrogram 1	1	9571.0	9574.0	0	15000	Clay-colored Thrush	clcrob	0.2157	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	15.0
74	Spectrogram 1	1	9574.0	9577.0	0	15000	Clay-colored Thrush	clcrob	0.1016	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	18.0
75	Spectrogram 1	1	9578.0	9581.0	0	15000	Clay-colored Thrush	clcrob	0.2334	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	22.0
76	Spectrogram 1	1	9582.0	9585.0	0	15000	Clay-colored Thrush	clcrob	0.1619	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	26.0
77	Spectrogram 1	1	9583.0	9586.0	0	15000	Clay-colored Thrush	clcrob	0.5084	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	27.0
78	Spectrogram 1	1	9604.0	9607.0	0	15000	Clay-colored Thrush	clcrob	0.1225	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_122400.WAV	48.0
79	Spectrogram 1	1	11031.0	11034.0	0	15000	Spot-breasted Wren	spbwre1	0.1315	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_144800.WAV	35.0
80	Spectrogram 1	1	11032.0	11035.0	0	15000	Spot-breasted Wren	spbwre1	0.2293	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_144800.WAV	36.0
81	Spectrogram 1	1	11045.0	11048.0	0	15000	Spot-breasted Wren	spbwre1	0.1035	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_144800.WAV	49.0
82	Spectrogram 1	1	11249.0	11252.0	0	15000	Yellow-backed Oriole	yebori1	0.1040	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_151200.WAV	13.0
83	Spectrogram 1	1	11357.0	11360.0	0	15000	Spot-breasted Wren	spbwre1	0.2787	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_152400.WAV	1.0
84	Spectrogram 1	1	11728.0	11731.0	0	15000	Clay-colored Thrush	clcrob	0.1151	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_160000.WAV	12.0
85	Spectrogram 1	1	11762.0	11765.0	0	15000	Clay-colored Thrush	clcrob	0.1078	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_160000.WAV	46.0
86	Spectrogram 1	1	11763.0	11766.0	0	15000	Clay-colored Thrush	clcrob	0.1618	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_160000.WAV	47.0
87	Spectrogram 1	1	11854.0	11857.0	0	15000	Clay-colored Thrush	clcrob	0.1022	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_161200.WAV	18.0
88	Spectrogram 1	1	12965.0	12968.0	0	15000	Spot-breasted Wren	spbwre1	0.5717	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_180000.WAV	49.0
89	Spectrogram 1	1	12967.0	12970.0	0	15000	Spot-breasted Wren	spbwre1	0.1597	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_180000.WAV	51.0
90	Spectrogram 1	1	12969.0	12972.0	0	15000	Spot-breasted Wren	spbwre1	0.3810	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_180000.WAV	53.0
91	Spectrogram 1	1	12970.0	12973.0	0	15000	Spot-breasted Wren	spbwre1	0.2289	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_180000.WAV	54.0
92	Spectrogram 1	1	12971.0	12974.0	0	15000	Spot-breasted Wren	spbwre1	0.1555	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250614_180000.WAV	55.0
93	Spectrogram 1	1	14313.0	14316.0	0	15000	Sora	sora	0.1208	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_051800.WAV	18.0
94	Spectrogram 1	1	14610.0	14613.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1998	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	15.0
95	Spectrogram 1	1	14613.0	14616.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1754	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	18.0
96	Spectrogram 1	1	14614.0	14617.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1638	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	19.0
97	Spectrogram 1	1	14615.0	14618.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1735	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	20.0
98	Spectrogram 1	1	14617.0	14620.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1060	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	22.0
99	Spectrogram 1	1	14618.0	14621.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1737	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	23.0
100	Spectrogram 1	1	14619.0	14622.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1045	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	24.0
101	Spectrogram 1	1	14622.0	14625.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1469	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	27.0
102	Spectrogram 1	1	14623.0	14626.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1495	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	28.0
103	Spectrogram 1	1	14627.0	14630.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1582	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	32.0
104	Spectrogram 1	1	14628.0	14631.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2011	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	33.0
105	Spectrogram 1	1	14629.0	14632.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1168	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	34.0
106	Spectrogram 1	1	14632.0	14635.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1429	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	37.0
107	Spectrogram 1	1	14633.0	14636.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1559	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	38.0
108	Spectrogram 1	1	14635.0	14638.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1288	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_054800.WAV	40.0
109	Spectrogram 1	1	14957.0	14960.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2070	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	2.0
110	Spectrogram 1	1	14958.0	14961.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1040	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	3.0
111	Spectrogram 1	1	14960.0	14963.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2085	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	5.0
112	Spectrogram 1	1	14961.0	14964.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1041	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	6.0
113	Spectrogram 1	1	14962.0	14965.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.3992	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	7.0
114	Spectrogram 1	1	14963.0	14966.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2780	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	8.0
115	Spectrogram 1	1	14965.0	14968.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.3707	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	10.0
116	Spectrogram 1	1	14966.0	14969.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1922	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	11.0
117	Spectrogram 1	1	14967.0	14970.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2698	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	12.0
118	Spectrogram 1	1	14968.0	14971.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1716	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	13.0
119	Spectrogram 1	1	14971.0	14974.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2032	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	16.0
120	Spectrogram 1	1	14972.0	14975.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2274	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	17.0
121	Spectrogram 1	1	14974.0	14977.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2169	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	19.0
122	Spectrogram 1	1	14975.0	14978.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2806	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	20.0
123	Spectrogram 1	1	14976.0	14979.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1161	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	21.0
124	Spectrogram 1	1	14977.0	14980.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.3522	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	22.0
125	Spectrogram 1	1	14978.0	14981.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2499	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	23.0
126	Spectrogram 1	1	14979.0	14982.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2129	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	24.0
127	Spectrogram 1	1	14980.0	14983.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.3372	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	25.0
128	Spectrogram 1	1	14984.0	14987.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1495	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	29.0
129	Spectrogram 1	1	14985.0	14988.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2682	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	30.0
130	Spectrogram 1	1	14986.0	14989.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1620	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	31.0
131	Spectrogram 1	1	14987.0	14990.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.3515	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	32.0
132	Spectrogram 1	1	14988.0	14991.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.4304	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	33.0
133	Spectrogram 1	1	14989.0	14992.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.3221	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	34.0
134	Spectrogram 1	1	14990.0	14993.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.4195	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	35.0
135	Spectrogram 1	1	14991.0	14994.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1986	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	36.0
136	Spectrogram 1	1	14996.0	14999.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1298	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	41.0
137	Spectrogram 1	1	14997.0	15000.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2682	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	42.0
138	Spectrogram 1	1	14998.0	15001.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.4921	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	43.0
139	Spectrogram 1	1	14999.0	15002.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.5028	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	44.0
140	Spectrogram 1	1	15000.0	15003.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1121	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	45.0
141	Spectrogram 1	1	15002.0	15005.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.1047	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	47.0
142	Spectrogram 1	1	15003.0	15006.0	0	15000	Chestnut-capped Brushfinch	ccbfin	0.2350	D:\recs9_27_06_2025\CAMP3\245AAA0563FA5561_20250615_062400.WAV	48.0
